#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
31503183	Spipo12G0020300	Spipo12G0020300	Spipo12G0020300	PF08263,PF07714	PTHR27000,PTHR27000:SF186	KOG1187	2.7.11.1		GO:0006468,GO:0004672	AT5G56040.2		Leucine-rich receptor-like protein kinase family protein	LOC_Os08g38560.1		receptor-like protein kinase 2 precursor, putative, expressed
31502852	Spipo12G0020400	Spipo12G0020400	Spipo12G0020400	PF01722,PF02657	PTHR12735,PTHR12735:SF21	KOG2313				AT4G26500.1	ATSUFE,CPSUFE,EMB1374,SUFE1	chloroplast sulfur E	LOC_Os09g09790.1		Fe-S metabolism associated domain containing protein, expressed
31503142	Spipo12G0020500	Spipo12G0020500	Spipo12G0020500		PTHR31133,PTHR31133:SF2					AT4G12680.1			LOC_Os06g19630.2		steroid nuclear receptor, ligand-binding, putative, expressed
31503432	Spipo12G0020600	Spipo12G0020600	Spipo12G0020600	PF03168	PTHR31852,PTHR31852:SF4					AT5G56050.1			LOC_Os08g38580.1		harpin-induced protein 1 domain containing protein, expressed
31503337	Spipo12G0020700	Spipo12G0020700	Spipo12G0020700		PTHR22814,PTHR22814:SF106					AT4G05030.1		Copper transport protein family	LOC_Os02g37280.1		heavy metal transport/detoxification protein, putative, expressed
31503224	Spipo12G0020800	Spipo12G0020800	Spipo12G0020800	PF00931	PTHR23155,PTHR23155:SF458	KOG4658		K13457	GO:0043531	AT3G07040.1	RPM1,RPS3	NB-ARC domain-containing disease resistance protein	LOC_Os04g21890.1		disease resistance protein RPM1, putative, expressed
31503350	Spipo12G0020900	Spipo12G0020900	Spipo12G0020900	PF00931	PTHR23155,PTHR23155:SF458	KOG4658			GO:0043531	AT3G07040.1	RPM1,RPS3	NB-ARC domain-containing disease resistance protein	LOC_Os10g04674.2		disease resistance protein RPM1, putative, expressed
31503404	Spipo12G0021000	Spipo12G0021000	Spipo12G0021000	PF16529	PTHR15598,PTHR15598:SF7			K12616		AT3G13290.1	VCR	varicose-related	LOC_Os06g19660.2		WD domain, G-beta repeat domain containing protein, expressed
31503013	Spipo12G0021100	Spipo12G0021100	Spipo12G0021100	PF01423	PTHR23338	KOG3428		K11087	GO:0006396	AT4G02840.1		Small nuclear ribonucleoprotein family protein	LOC_Os04g39444.1		LSM domain containing protein, expressed
31503271	Spipo12G0021200	Spipo12G0021200	Spipo12G0021200	PF01501	PTHR32116,PTHR32116:SF7		2.4.1.43	K13648	GO:0016757,GO:0047262	AT5G47780.1	GAUT4	galacturonosyltransferase 4	LOC_Os08g23780.1		glycosyl transferase 8 domain containing protein, putative, expressed
31503213	Spipo12G0021300	Spipo12G0021300	Spipo12G0021300												
31503128	Spipo12G0021400	Spipo12G0021400	Spipo12G0021400												
31503110	Spipo12G0021500	Spipo12G0021500	Spipo12G0021500												
31503178	Spipo12G0021600	Spipo12G0021600	Spipo12G0021600												
31503058	Spipo12G0021700	Spipo12G0021700	Spipo12G0021700												
31503250	Spipo12G0021800	Spipo12G0021800	Spipo12G0021800												
31503237	Spipo12G0021900	Spipo12G0021900	Spipo12G0021900	PF11919,PF16507	PTHR32170,PTHR32170:SF0			K06699		AT3G13330.1	PA200	proteasome activating protein 200	LOC_Os06g19730.1		HEAT repeat family protein, putative, expressed
31502977	Spipo12G0022000	Spipo12G0022000	Spipo12G0022000	PF00076	PTHR24012				GO:0003676	AT4G12640.1		RNA recognition motif (RRM)-containing protein	LOC_Os09g12730.1		RNA recognition motif containing protein, expressed
31503339	Spipo12G0022100	Spipo12G0022100	Spipo12G0022100	PF00076,PF07744	PTHR23189,PTHR23189:SF41	KOG0107,KOG0131			GO:0003676	AT4G12640.1		RNA recognition motif (RRM)-containing protein	LOC_Os09g12730.1		RNA recognition motif containing protein, expressed
31503035	Spipo12G0022200	Spipo12G0022200	Spipo12G0022200	PF13639	PTHR10579,PTHR10579:SF47				GO:0008270,GO:0005515	AT5G60710.1		Zinc finger (C3HC4-type RING finger) family protein	LOC_Os09g12720.1		zinc finger, C3HC4 type domain containing protein, expressed
31503175	Spipo12G0022300	Spipo12G0022300	Spipo12G0022300		PTHR11208,PTHR11208:SF48			K14945		AT5G56140.1		RNA-binding KH domain-containing protein	LOC_Os02g49080.1		KH domain containing protein, putative, expressed
31503427	Spipo12G0022400	Spipo12G0022400	Spipo12G0022400	PF00808	PTHR10252,PTHR10252:SF46					AT1G56170.2	ATHAP5B,HAP5B,NF-YC2	nuclear factor Y, subunit C2	LOC_Os09g30310.1		core histone H2A/H2B/H3/H4, putative, expressed
31503052	Spipo12G0022500	Spipo12G0022500	Spipo12G0022500	PF01490	PTHR22950,PTHR22950:SF228					AT1G10010.1	AAP8,ATAAP8	amino acid permease 8	LOC_Os04g39489.1		amino acid transporter, putative, expressed
31503176	Spipo12G0022600	Spipo12G0022600	Spipo12G0022600	PF01490	PTHR22950,PTHR22950:SF228					AT5G23810.1	AAP7	amino acid permease 7	LOC_Os04g39489.1		amino acid transporter, putative, expressed
31502960	Spipo12G0022700	Spipo12G0022700	Spipo12G0022700	PF01490	PTHR22950,PTHR22950:SF228	KOG1303				AT5G23810.1	AAP7	amino acid permease 7	LOC_Os04g39489.1		amino acid transporter, putative, expressed
31502993	Spipo12G0022800	Spipo12G0022800	Spipo12G0022800	PF05634	PTHR10388,PTHR10388:SF5				GO:0003723	AT1G64810.2	APO1	Arabidopsis thaliana protein of unknown function (DUF794)	LOC_Os04g52520.1		APO, putative, expressed
31503137	Spipo12G0022900	Spipo12G0022900	Spipo12G0022900	PF14379,PF00249	PTHR31314,PTHR31314:SF5					AT2G01060.1		myb-like HTH transcriptional regulator family protein	LOC_Os09g12770.1		Myb-like DNA-binding domain containing protein, putative, expressed
31503301	Spipo12G0023000	Spipo12G0023000	Spipo12G0023000										LOC_Os06g40730.1		protein with a conserved N-terminal region, putative, expressed
31502865	Spipo12G0023100	Spipo12G0023100	Spipo12G0023100	PF12695	PTHR12277,PTHR12277:SF58	KOG1552	3.1.1.23			AT4G17150.1		alpha/beta-Hydrolases superfamily protein	LOC_Os06g40730.1		protein with a conserved N-terminal region, putative, expressed
31502858	Spipo12G0023200	Spipo12G0023200	Spipo12G0023200	PF13401	PTHR23155,PTHR23155:SF634	KOG4658				AT5G43470.1	HRT,RCY1,RPP8	Disease resistance protein (CC-NBS-LRR class) family	LOC_Os09g09490.1		disease resistance protein RPM1, putative, expressed
31503268	Spipo12G0023300	Spipo12G0023300	Spipo12G0023300	PF00931	PTHR23155,PTHR23155:SF634	KOG4658			GO:0043531	AT5G43470.2	HRT,RCY1,RPP8	Disease resistance protein (CC-NBS-LRR class) family	LOC_Os10g10360.1		NBS-LRR disease resistance protein, putative, expressed
31502994	Spipo12G0023400	Spipo12G0023400	Spipo12G0023400	PF00931	PTHR23155,PTHR23155:SF634				GO:0043531	AT1G58390.1		Disease resistance protein (CC-NBS-LRR class) family	LOC_Os10g10360.2		NBS-LRR disease resistance protein, putative, expressed
31503204	Spipo12G0023500	Spipo12G0023500	Spipo12G0023500	PF00931	PTHR23155,PTHR23155:SF634	KOG4658			GO:0043531	AT1G58400.1		Disease resistance protein (CC-NBS-LRR class) family	LOC_Os10g10360.3		NBS-LRR disease resistance protein, putative, expressed
31503095	Spipo12G0023600	Spipo12G0023600	Spipo12G0023600	PF13191	PTHR23155,PTHR23155:SF634	KOG4658				AT5G43470.1	HRT,RCY1,RPP8	Disease resistance protein (CC-NBS-LRR class) family	LOC_Os09g09490.1		disease resistance protein RPM1, putative, expressed
31502974	Spipo12G0023700	Spipo12G0023700	Spipo12G0023700	PF00650	PTHR23324,PTHR23324:SF73	KOG1471				AT3G24840.1		Sec14p-like phosphatidylinositol transfer family protein	LOC_Os08g25310.1		phosphatidylinositol transfer, putative, expressed
31502909	Spipo12G0023800	Spipo12G0023800	Spipo12G0023800	PF12937,PF00022	PTHR11937,PTHR11937:SF161	KOG0676		K16616	GO:0005515	AT5G56180.1	ARP8,ATARP8	actin-related protein 8	LOC_Os04g57210.1		actin-6, putative, expressed
31502931	Spipo12G0023900	Spipo12G0023900	Spipo12G0023900	PF05773	PTHR24068	KOG0417	6.3.2.19	K06689	GO:0005515	AT1G64230.2	UBC28	ubiquitin-conjugating enzyme 28	LOC_Os09g12230.1		ubiquitin-conjugating enzyme, putative, expressed
31503419	Spipo12G0024000	Spipo12G0024000	Spipo12G0024000	PF13912	PTHR26374					AT1G27730.1	STZ,ZAT10	salt tolerance zinc finger	LOC_Os04g39520.1		ZOS4-08 - C2H2 zinc finger protein, expressed
31502812	Spipo12G0024100	Spipo12G0024100	Spipo12G0024100		PTHR34562,PTHR34562:SF1					AT4G26455.1	WIP1	WPP domain interacting protein 1	LOC_Os09g30350.1		expressed protein
31503431	Spipo12G0024200	Spipo12G0024200	Spipo12G0024200										LOC_Os08g38960.1		expressed protein
31503132	Spipo12G0024300	Spipo12G0024300	Spipo12G0024300	PF01985	PTHR31426,PTHR31426:SF3				GO:0003723	AT4G13070.1		RNA-binding CRS1 / YhbY (CRM) domain protein	LOC_Os06g20030.1		chloroplastic group IIA intron splicing facilitator CRS1, chloroplast precursor, putative, expressed
31502954	Spipo12G0024400	Spipo12G0024400	Spipo12G0024400	PF00931	PTHR32472,PTHR32472:SF12				GO:0043531	AT5G56220.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein	LOC_Os08g38970.1		transmembrane receptor, putative, expressed
31502969	Spipo12G0024500	Spipo12G0024500	Spipo12G0024500		PTHR35767,PTHR35767:SF1					AT5G56250.2	HAP8	hapless 8	LOC_Os04g39560.2		expressed protein
31503462	Spipo12G0024600	Spipo12G0024600	Spipo12G0024600		PTHR36056					AT4G26450.1			LOC_Os02g34500.1		expressed protein
31503262	Spipo12G0024700	Spipo12G0024700	Spipo12G0024700	PF00571,PF00654	PTHR11689,PTHR11689:SF77	KOG0475			GO:0055085,GO:0016020,GO:0006821,GO:0005247	AT1G55620.2	ATCLC-F,CLC-F,CLCF	chloride channel F	LOC_Os08g38980.1		chloride transporter, chloride channel family, putative, expressed
31503300	Spipo12G0024800	Spipo12G0024800	Spipo12G0024800	PF13540,PF00415	PTHR22870	KOG1427				AT5G48330.2		Regulator of chromosome condensation (RCC1) family protein	LOC_Os02g10380.1		Regulator of chromosome condensation domain containing protein, expressed
31503390	Spipo12G0024900	Spipo12G0024900	Spipo12G0024900	PF08263,PF00560,PF00069,PF13855	PTHR27000,PTHR27000:SF48	KOG1187	2.7.11.1		GO:0005515,GO:0006468,GO:0005524,GO:0004672	AT3G13380.1	BRL3	BRI1-like 3	LOC_Os09g12240.1		serine/threonine-protein kinase BRI1-like 1 precursor, putative, expressed
31503254	Spipo12G0025000	Spipo12G0025000	Spipo12G0025000	PF03737	PTHR33254,PTHR33254:SF3		4.1.1.3	K02553		AT5G56260.1		Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase	LOC_Os02g52430.2		regulator of ribonuclease, putative, expressed
31502833	Spipo12G0025100	Spipo12G0025100	Spipo12G0025100	PF01398,PF13012	PTHR10540,PTHR10540:SF8	KOG3050		K12179	GO:0005515	AT5G56280.1	CSN6A	COP9 signalosome subunit 6A	LOC_Os08g39070.1		COP9 signalosome complex subunit 6a, putative, expressed
31502996	Spipo12G0025200	Spipo12G0025200	Spipo12G0025200	PF03514	PTHR31636,PTHR31636:SF2				GO:0010223,GO:0005634	AT1G55580.1	LAS,SCL18	GRAS family transcription factor	LOC_Os06g40780.1		MONOCULM 1, putative, expressed
31503073	Spipo12G0025300	Spipo12G0025300	Spipo12G0025300	PF12542,PF10197	PTHR16196	KOG3869				AT2G44200.1		CBF1-interacting co-repressor CIR, N-terminal;Pre-mRNA splicing factor	LOC_Os08g39090.1		coiled-coil domain containing 49, putative, expressed
31502854	Spipo12G0025400	Spipo12G0025400	Spipo12G0025400							AT3G15395.1			LOC_Os02g10370.1		hrpN-interacting protein from Malus, putative, expressed
31503315	Spipo12G0025500	Spipo12G0025500	Spipo12G0025500		PTHR36017,PTHR36017:SF1					AT2G31340.1	emb1381	embryo defective 1381	LOC_Os09g12500.2		EMB1381, putative, expressed
31503287	Spipo12G0025600	Spipo12G0025600	Spipo12G0025600	PF13812,PF12854,PF13041,PF01535	PTHR24015					AT2G29760.1	OTP81	Tetratricopeptide repeat (TPR)-like superfamily protein	LOC_Os08g39130.1		pentatricopeptide, putative, expressed
31502887	Spipo12G0025700	Spipo12G0025700	Spipo12G0025700	PF10513	PTHR14898,PTHR14898:SF5			K11322	GO:0035267,GO:0032777,GO:0006357	AT1G79020.1		Enhancer of polycomb-like transcription factor protein	LOC_Os09g11270.1		enhancer of polycomb, putative, expressed
31502848	Spipo12G0025800	Spipo12G0025800	Spipo12G0025800	PF03094	PTHR31942,PTHR31942:SF19			K08472	GO:0016021,GO:0006952	AT4G24250.1	ATMLO13,MLO13	Seven transmembrane MLO family protein	LOC_Os01g66510.1		MLO domain containing protein, putative, expressed
31503131	Spipo12G0025900	Spipo12G0025900	Spipo12G0025900												
31503100	Spipo12G0026000	Spipo12G0026000	Spipo12G0026000	PF00026	PTHR13683,PTHR13683:SF246	KOG1339	3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31503395	Spipo12G0026100	Spipo12G0026100	Spipo12G0026100	PF00026	PTHR13683,PTHR13683:SF246	KOG1339	3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31502898	Spipo12G0026200	Spipo12G0026200	Spipo12G0026200	PF00026	PTHR13683,PTHR13683:SF246	KOG1339	3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31503094	Spipo12G0026300	Spipo12G0026300	Spipo12G0026300	PF14541	PTHR13683,PTHR13683:SF246	KOG1339	3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31503211	Spipo12G0026400	Spipo12G0026400	Spipo12G0026400	PF14541	PTHR13683,PTHR13683:SF246	KOG1339	3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31502946	Spipo12G0026500	Spipo12G0026500	Spipo12G0026500	PF00026	PTHR13683,PTHR13683:SF246	KOG1339	3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31503018	Spipo12G0026600	Spipo12G0026600	Spipo12G0026600	PF00026	PTHR13683,PTHR13683:SF246	KOG1339	3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31503169	Spipo12G0026700	Spipo12G0026700	Spipo12G0026700										LOC_Os09g30414.1		aspartic proteinase nepenthesin-2 precursor, putative, expressed
31503366	Spipo12G0026800	Spipo12G0026800	Spipo12G0026800												
31503041	Spipo12G0026900	Spipo12G0026900	Spipo12G0026900	PF14541,PF14543	PTHR13683,PTHR13683:SF246	KOG1339	3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31503347	Spipo12G0027000	Spipo12G0027000	Spipo12G0027000		PTHR23155,PTHR23155:SF549					AT1G53350.1		Disease resistance protein (CC-NBS-LRR class) family	LOC_Os11g29970.1		NB-ARC domain containing protein, expressed
31503307	Spipo12G0027100	Spipo12G0027100	Spipo12G0027100	PF00931	PTHR23155,PTHR23155:SF634				GO:0043531	AT5G43470.2	HRT,RCY1,RPP8	Disease resistance protein (CC-NBS-LRR class) family	LOC_Os08g09430.1		disease resistance protein RPM1, putative, expressed
31503359	Spipo12G0027200	Spipo12G0027200	Spipo12G0027200										LOC_Os01g70080.1		NB-ARC domain containing protein, expressed
31503389	Spipo12G0027300	Spipo12G0027300	Spipo12G0027300	PF00931	PTHR23155,PTHR23155:SF592				GO:0043531	AT3G46710.1		NB-ARC domain-containing disease resistance protein	LOC_Os09g09490.1		disease resistance protein RPM1, putative, expressed
31502801	Spipo12G0027400	Spipo12G0027400	Spipo12G0027400	PF00026	PTHR13683,PTHR13683:SF246	KOG1339	3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31503173	Spipo12G0027500	Spipo12G0027500	Spipo12G0027500												
31503226	Spipo12G0027600	Spipo12G0027600	Spipo12G0027600	PF14543	PTHR13683,PTHR13683:SF246		3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31502932	Spipo12G0027700	Spipo12G0027700	Spipo12G0027700	PF14541	PTHR13683,PTHR13683:SF246		3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g20190.1		aspartic proteinase nepenthesin-2 precursor, putative, expressed
31503015	Spipo12G0027800	Spipo12G0027800	Spipo12G0027800												
31503201	Spipo12G0027900	Spipo12G0027900	Spipo12G0027900	PF00931	PTHR23155,PTHR23155:SF634	KOG4658			GO:0043531	AT5G43470.2	HRT,RCY1,RPP8	Disease resistance protein (CC-NBS-LRR class) family	LOC_Os10g10360.3		NBS-LRR disease resistance protein, putative, expressed
31502879	Spipo12G0028000	Spipo12G0028000	Spipo12G0028000				2.7.7.49			ATMG00710.1		Polynucleotidyl transferase, ribonuclease H-like superfamily protein	ChrUn.fgenesh.mRNA.32		hypothetical protein
31503453	Spipo12G0028100	Spipo12G0028100	Spipo12G0028100												
31502923	Spipo12G0028200	Spipo12G0028200	Spipo12G0028200	PF00026	PTHR13683,PTHR13683:SF246	KOG1339	3.4.23.12		GO:0006508,GO:0004190	AT5G10770.1		Eukaryotic aspartyl protease family protein	LOC_Os06g40818.1		aspartic proteinase, putative, expressed
31503167	Spipo12G0028300	Spipo12G0028300	Spipo12G0028300												
31503020	Spipo12G0028400	Spipo12G0028400	Spipo12G0028400												
31503319	Spipo12G0028500	Spipo12G0028500	Spipo12G0028500												
31503062	Spipo12G0028600	Spipo12G0028600	Spipo12G0028600												
31503263	Spipo12G0028700	Spipo12G0028700	Spipo12G0028700	PF00931	PTHR23155,PTHR23155:SF634	KOG4658			GO:0043531	AT5G43470.1	HRT,RCY1,RPP8	Disease resistance protein (CC-NBS-LRR class) family	LOC_Os08g32880.1		disease resistance protein RPM1, putative, expressed
31503036	Spipo12G0028800	Spipo12G0028800	Spipo12G0028800	PF05698,PF05697	PTHR30560,PTHR30560:SF3		5.2.1.8		GO:0015031,GO:0006457	AT5G55220.1		trigger factor type chaperone family protein	LOC_Os06g20320.1		peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed
31502846	Spipo12G0028900	Spipo12G0028900	Spipo12G0028900												
31503387	Spipo12G0029000	Spipo12G0029000	Spipo12G0029000	PF02298	PTHR33021,PTHR33021:SF31				GO:0009055	AT2G32300.1	UCC1	uclacyanin 1	LOC_Os02g48820.1		plastocyanin-like domain containing protein, putative, expressed
31503341	Spipo12G0029100	Spipo12G0029100	Spipo12G0029100	PF00628	PTHR12321,PTHR12321:SF44				GO:0005515	AT1G50620.1		RING/FYVE/PHD zinc finger superfamily protein	LOC_Os06g20410.1		BAH domain containing protein, expressed
31503208	Spipo12G0029200	Spipo12G0029200	Spipo12G0029200	PF09298,PF01557	PTHR11820,PTHR11820:SF1		3.7.1.2	K01555	GO:0009072,GO:0004334,GO:0008152,GO:0003824	AT1G12050.1		fumarylacetoacetase, putative	LOC_Os02g10310.1		fumarylacetoacetase, putative, expressed
31503239	Spipo12G0029300	Spipo12G0029300	Spipo12G0029300	PF01273,PF02886	PTHR10504,PTHR10504:SF73	KOG4160		K05399	GO:0008289	AT1G04970.1		lipid-binding serum glycoprotein family protein	LOC_Os06g20430.1		BPI/LBP family protein At3g20270 precursor, putative, expressed
31503179	Spipo12G0029400	Spipo12G0029400	Spipo12G0029400	PF00150	PTHR31451,PTHR31451:SF16		3.2.1.78	K19355	GO:0005975,GO:0004553	AT4G28320.1		Glycosyl hydrolase superfamily protein	LOC_Os06g20620.1		OsMan07 - Endo-Beta-Mannanase, expressed
31503411	Spipo12G0029500	Spipo12G0029500	Spipo12G0029500												
31503001	Spipo12G0029600	Spipo12G0029600	Spipo12G0029600	PF00149	PTHR11668,PTHR11668:SF278		3.1.3.16	K15423	GO:0016787	AT5G55260.1	PPX-2,PPX2	protein phosphatase X 2	LOC_Os09g11230.1		Ser/Thr protein phosphatase family protein, putative, expressed
31503136	Spipo12G0029700	Spipo12G0029700	Spipo12G0029700	PF00566	PTHR22957,PTHR22957:SF327	KOG2058				AT3G07890.1		Ypt/Rab-GAP domain of gyp1p superfamily protein	LOC_Os08g25010.1		TBC domain containing protein, expressed
31503255	Spipo12G0029800	Spipo12G0029800	Spipo12G0029800	PF00307	PTHR19961,PTHR19961:SF25				GO:0005515	AT5G35700.1	FIM2	fimbrin-like protein 2	LOC_Os02g48740.1		fimbrin-like protein 2, putative, expressed
31503165	Spipo12G0029900	Spipo12G0029900	Spipo12G0029900	PF13499	PTHR10891,PTHR10891:SF577					AT2G44310.1		Calcium-binding EF-hand family protein	LOC_Os09g31040.1		EF hand family protein, putative, expressed
31502941	Spipo12G0030000	Spipo12G0030000	Spipo12G0030000	PF13202	PTHR10891,PTHR10891:SF577				GO:0005509	AT2G44310.1		Calcium-binding EF-hand family protein	LOC_Os09g31000.1		EF hand family protein, expressed
31503102	Spipo12G0030100	Spipo12G0030100	Spipo12G0030100	PF13202	PTHR10891,PTHR10891:SF577				GO:0005509	AT2G44310.1		Calcium-binding EF-hand family protein	LOC_Os09g31000.1		EF hand family protein, expressed
31503257	Spipo12G0030200	Spipo12G0030200	Spipo12G0030200	PF13499	PTHR10891,PTHR10891:SF577		2.7.1.107			AT2G44310.1		Calcium-binding EF-hand family protein	LOC_Os09g31040.1		EF hand family protein, putative, expressed
31503027	Spipo12G0030300	Spipo12G0030300	Spipo12G0030300	PF13499	PTHR10891,PTHR10891:SF577					AT2G44310.1		Calcium-binding EF-hand family protein	LOC_Os09g31000.1		EF hand family protein, expressed
31502862	Spipo12G0030400	Spipo12G0030400	Spipo12G0030400												
31502819	Spipo12G0030500	Spipo12G0030500	Spipo12G0030500												
31503306	Spipo12G0030600	Spipo12G0030600	Spipo12G0030600	PF00999	PTHR10110,PTHR10110:SF101	KOG1965		K14724	GO:0055085,GO:0016021,GO:0015299,GO:0006812,GO:0055075,GO:0009651,GO:0006814,GO:0005886,GO:0005774	AT5G55470.1	ATNHX3,NHX3	Na+/H+ (sodium hydrogen) exchanger 3	LOC_Os06g21360.1		transporter, monovalent cation:proton antiporter-2 family, putative, expressed
31503241	Spipo12G0030700	Spipo12G0030700	Spipo12G0030700	PF01956	PTHR13116	KOG3188			GO:0016020	AT4G12590.1		Protein of unknown function DUF106, transmembrane	LOC_Os09g32220.1		pob, putative, expressed
31502806	Spipo12G0030800	Spipo12G0030800	Spipo12G0030800	PF02201	PTHR13844,PTHR13844:SF10				GO:0005515	AT4G22360.1		SWIB complex BAF60b domain-containing protein	LOC_Os08g39310.1		SWIB/MDM2 domain containing protein, expressed
31503053	Spipo12G0030900	Spipo12G0030900	Spipo12G0030900												
31503266	Spipo12G0031000	Spipo12G0031000	Spipo12G0031000		PTHR36342					AT2G04790.2			LOC_Os02g37600.1		expressed protein
31503210	Spipo12G0031100	Spipo12G0031100	Spipo12G0031100							AT2G04795.1					
31503244	Spipo12G0031200	Spipo12G0031200	Spipo12G0031200	PF00295	PTHR31375		3.2.1.15	K01213	GO:0005975,GO:0004650	AT3G07840.1		Pectin lyase-like superfamily protein	LOC_Os06g40880.1		polygalacturonase, putative, expressed
31502901	Spipo12G0031300	Spipo12G0031300	Spipo12G0031300				3.2.1.15								
31503284	Spipo12G0031400	Spipo12G0031400	Spipo12G0031400	PF02678,PF05726	PTHR13903,PTHR13903:SF5			K06911		AT1G50590.1		RmlC-like cupins superfamily protein	LOC_Os09g31120.1		pirin, putative, expressed
31502961	Spipo12G0031500	Spipo12G0031500	Spipo12G0031500	PF14510,PF00005,PF08370,PF01061	PTHR19241,PTHR19241:SF219				GO:0016887,GO:0005524,GO:0016020	AT1G15520.1	ABCG40,ATABCG40,ATPDR12,PDR12	pleiotropic drug resistance 12	LOC_Os01g42380.1		pleiotropic drug resistance protein, putative, expressed
31503442	Spipo12G0031600	Spipo12G0031600	Spipo12G0031600	PF00005,PF08370,PF01061	PTHR19241,PTHR19241:SF273				GO:0016887,GO:0005524,GO:0016020	AT1G15210.1	ATPDR7,PDR7	pleiotropic drug resistance 7	LOC_Os01g42410.1		pleiotropic drug resistance protein, putative, expressed
31502870	Spipo12G0031700	Spipo12G0031700	Spipo12G0031700												
31503256	Spipo12G0031800	Spipo12G0031800	Spipo12G0031800	PF03129	PTHR11451,PTHR11451:SF32					AT2G04842.1	EMB2761	threonyl-tRNA synthetase, putative / threonine--tRNA ligase, putative	LOC_Os02g33500.1		threonyl-tRNA synthetase, putative, expressed
31502904	Spipo12G0031900	Spipo12G0031900	Spipo12G0031900	PF13650											
31503355	Spipo12G0032000	Spipo12G0032000	Spipo12G0032000												
31503187	Spipo12G0032100	Spipo12G0032100	Spipo12G0032100												
31503050	Spipo12G0032200	Spipo12G0032200	Spipo12G0032200	PF14510,PF01061	PTHR19241,PTHR19241:SF219				GO:0016020	AT1G15520.1	ABCG40,ATABCG40,ATPDR12,PDR12	pleiotropic drug resistance 12	LOC_Os01g42380.1		pleiotropic drug resistance protein, putative, expressed
31503177	Spipo12G0032300	Spipo12G0032300	Spipo12G0032300	PF03129	PTHR11451,PTHR11451:SF32		6.1.1.3			AT2G04842.1	EMB2761	threonyl-tRNA synthetase, putative / threonine--tRNA ligase, putative	LOC_Os02g33500.1		threonyl-tRNA synthetase, putative, expressed
31502965	Spipo12G0032400	Spipo12G0032400	Spipo12G0032400	PF00005,PF14510	PTHR19241		3.6.4.3		GO:0016887,GO:0005524	AT1G15520.1	ABCG40,ATABCG40,ATPDR12,PDR12	pleiotropic drug resistance 12	LOC_Os01g42410.1		pleiotropic drug resistance protein, putative, expressed
31503379	Spipo12G0032500	Spipo12G0032500	Spipo12G0032500	PF00005,PF08370,PF01061	PTHR19241,PTHR19241:SF219				GO:0016887,GO:0005524,GO:0016020	AT2G36380.1	ATPDR6,PDR6	pleiotropic drug resistance 6	LOC_Os01g42370.1		pleiotropic drug resistance protein, putative, expressed
31502915	Spipo12G0032600	Spipo12G0032600	Spipo12G0032600												
31502952	Spipo12G0032700	Spipo12G0032700	Spipo12G0032700												
31503274	Spipo12G0032800	Spipo12G0032800	Spipo12G0032800												
31503286	Spipo12G0032900	Spipo12G0032900	Spipo12G0032900	PF07973,PF03129,PF00587	PTHR11451,PTHR11451:SF32	KOG1637	6.1.1.3	K01868	GO:0043039,GO:0016876,GO:0005524,GO:0006418,GO:0004812,GO:0000166	AT2G04842.1	EMB2761	threonyl-tRNA synthetase, putative / threonine--tRNA ligase, putative	LOC_Os02g33500.1		threonyl-tRNA synthetase, putative, expressed
31503007	Spipo12G0033000	Spipo12G0033000	Spipo12G0033000										LOC_Os02g33500.1		threonyl-tRNA synthetase, putative, expressed
