#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
16799341	27852.t000002	27852.m000040	27852.m000040		PTHR37245					AT4G28460.1		
16799342	27856.t000001	27856.m000039	27856.m000039	PF13350	PTHR31126,PTHR31126:SF15	KOG1572	3.1.3.48	K18045		AT1G05000.1		Phosphotyrosine protein phosphatases superfamily protein
16799343	27856.t000002	27856.m000040	27856.m000040	PF03171	PTHR10209,PTHR10209:SF193		1.14.17.4	K05933	GO:0055114,GO:0016491	AT1G05010.1	ACO4,EAT1,EFE	ethylene-forming enzyme
16799344	27859.t000001	27859.m000065	27859.m000065									
16799345	27859.t000002	27859.m000066	27859.m000066	PF12833,PF06719	PTHR11019,PTHR11019:SF81				GO:0043565,GO:0006355,GO:0003700			
16799346	27859.t000003	27859.m000067	27859.m000067									
16799347	27859.t000004	27859.m000068	27859.m000068	PF00126,PF03466	PTHR30537,PTHR30537:SF1				GO:0006355,GO:0003700			
16799348	27859.t000005	27859.m000069	27859.m000069	PF13549	PTHR11117,PTHR11117:SF8		6.2.1.13					
16799349	27860.t000001	27860.m000040	27860.m000040	PF00230	PTHR19139,PTHR19139:SF142	KOG0223		K09874	GO:0016020,GO:0006810,GO:0005215	AT5G37820.1	NIP4;2,NLM5	NOD26-like intrinsic protein 4;2
16799350	27860.t000002	27860.m000041	27860.m000041	PF13304,PF06470,PF02463	PTHR18937,PTHR18937:SF231			K06675	GO:0005524,GO:0051276,GO:0005694,GO:0005515	AT5G48600.2	ATCAP-C,ATSMC3,ATSMC4,SMC3	structural maintenance of chromosome 3
16799351	27866.t000001	27866.m000222	27866.m000222							AT4G13440.1		Calcium-binding EF-hand family protein
16799352	27866.t000002	27866.m000223	27866.m000223	PF00201	PTHR11926,PTHR11926:SF299	KOG1192		K13691	GO:0016758,GO:0008152	AT2G43840.2	UGT74F1	UDP-glycosyltransferase 74 F1
16799353	27866.t000003	27866.m000224	27866.m000224	PF00201	PTHR11926,PTHR11926:SF299	KOG1192		K13691	GO:0016758,GO:0008152	AT1G05675.1		UDP-Glycosyltransferase superfamily protein
16799354	27866.t000004	27866.m000225	27866.m000225									
16799355	27866.t000005	27866.m000226	27866.m000226		PTHR11926,PTHR11926:SF213				GO:0016758,GO:0008152	AT1G05680.1	UGT74E2	Uridine diphosphate glycosyltransferase 74E2
16799356	27866.t000006	27866.m000227	27866.m000227		PTHR11926,PTHR11926:SF396				GO:0016758,GO:0008152	AT2G43820.1	ATSAGT1,GT,SAGT1,SGT1,UGT74F2	UDP-glucosyltransferase 74F2
16799357	27866.t000007	27866.m000228	27866.m000228	PF01494	PTHR13789,PTHR13789:SF1	KOG2614			GO:0071949	AT4G15760.1	MO1	monooxygenase 1
16799358	27866.t000008	27866.m000229	27866.m000229		PTHR11926,PTHR11926:SF213				GO:0016758,GO:0008152	AT1G05680.1	UGT74E2	Uridine diphosphate glycosyltransferase 74E2
16799359	27866.t000009	27866.m000230	27866.m000230		PTHR11926,PTHR11926:SF331				GO:0016758,GO:0008152	AT1G05680.1	UGT74E2	Uridine diphosphate glycosyltransferase 74E2
16799360	27866.t000010	27866.m000231	27866.m000231									
16799361	27866.t000011	27866.m000232	27866.m000232	PF00201	PTHR11926,PTHR11926:SF331	KOG1192		K13691	GO:0016758,GO:0008152	AT2G43820.1	ATSAGT1,GT,SAGT1,SGT1,UGT74F2	UDP-glucosyltransferase 74F2
16799362	27866.t000012	27866.m000233	27866.m000233	PF00319	PTHR11945,PTHR11945:SF185				GO:0046983,GO:0003677	AT5G60440.1	AGL62	AGAMOUS-like 62
16799363	27866.t000013	27866.m000234	27866.m000234		PTHR12655,PTHR12655:SF3	KOG2763	3.1.2.2,3.1.2.20	K17361		AT5G48370.2		Thioesterase/thiol ester dehydrase-isomerase superfamily protein
16799364	27866.t000014	27866.m000235	27866.m000235	PF02181	PTHR23213,PTHR23213:SF220					AT3G25500.1	AFH1,AHF1,ATFH1,FH1	formin homology 1
16799365	27866.t000015	27866.m000236	27866.m000236									
16799366	27866.t000016	27866.m000237	27866.m000237		PTHR22536					AT5G12230.1	MED19A	
16799367	27872.t000001	27872.m000003	27872.m000003	PF00931	PTHR23155,PTHR23155:SF563				GO:0043531	AT3G14470.1		NB-ARC domain-containing disease resistance protein
16799368	27875.t000001	27875.m000037	27875.m000037	PF11855								
16799369	27875.t000002	27875.m000038	27875.m000038									
16799370	27875.t000003	27875.m000039	27875.m000039	PF08722								
16799371	27878.t000001	27878.m000020	27878.m000020	PF13276,PF02371,PF01548	PTHR33055,PTHR33055:SF3				GO:0006313,GO:0004803,GO:0003677			
16799372	27879.t000001	27879.m000012	27879.m000012	PF13500	PTHR11986,PTHR11986:SF8		6.3.3.3,2.6.1.62		GO:0030170,GO:0008483	AT5G57590.1	BIO1	adenosylmethionine-8-amino-7-oxononanoate transaminases
16799373	27880.t000001	27880.m000074	27880.m000074									
16799374	27880.t000002	27880.m000075	27880.m000075									
16799375	27880.t000003	27880.m000076	27880.m000076									
16799376	27880.t000004	27880.m000077	27880.m000077									
16799377	27880.t000005	27880.m000078	27880.m000078									
16799378	27880.t000006	27880.m000079	27880.m000079									
16799379	27883.t000001	27883.m000058	27883.m000058	PF13561	PTHR24322	KOG0725				AT1G62610.4		NAD(P)-binding Rossmann-fold superfamily protein
16799380	27883.t000002	27883.m000059	27883.m000059									
16799381	27883.t000003	27883.m000060	27883.m000060	PF00227					GO:0051603,GO:0005839,GO:0004298			
16799382	27883.t000004	27883.m000061	27883.m000061	PF00043,PF13417		KOG0867	2.5.1.18		GO:0005515			
16799383	27883.t000005	27883.m000062	27883.m000062	PF03883	PTHR30283,PTHR30283:SF3							
16799384	27883.t000006	27883.m000063	27883.m000063	PF00441	PTHR10909,PTHR10909:SF289				GO:0055114,GO:0016627			
16799385	27887.t000001	27887.m000072	27887.m000072	PF07714	PTHR27001,PTHR27001:SF149	KOG1187	2.7.11.1,2.7.10.2	K04733	GO:0006468,GO:0004672	AT5G02290.1	NAK	Protein kinase superfamily protein
16799386	27887.t000002	27887.m000073	27887.m000073	PF04628	PTHR23249,PTHR23249:SF15	KOG3369			GO:0006888,GO:0005622,GO:0005801	AT5G02280.1		SNARE-like superfamily protein
16799387	27887.t000003	27887.m000074	27887.m000074	PF00005	PTHR12847,PTHR12847:SF5	KOG2355	3.6.3.34	K12608	GO:0016887,GO:0005524	AT5G02270.1	ATNAP9,NAP9	non-intrinsic ABC protein 9
16799388	27887.t000004	27887.m000075	27887.m000075									
16799389	27889.t000001	27889.m000163	27889.m000163									
16799390	27889.t000002	27889.m000164	27889.m000164									
16799391	27889.t000003	27889.m000165	27889.m000165		PTHR35310					AT4G39840.1		
16799392	27889.t000004	27889.m000166	27889.m000166	PF13456								
16799393	27889.t000005	27889.m000167	27889.m000167									
16799394	27889.t000006	27889.m000168	27889.m000168									
16799395	27889.t000007	27889.m000169	27889.m000169	PF07883	PTHR31238,PTHR31238:SF44					AT5G39130.1		RmlC-like cupins superfamily protein
16799396	27889.t000008	27889.m000170	27889.m000170	PF13414	PTHR22904,PTHR22904:SF379					AT5G10200.1		ARM-repeat/Tetratricopeptide repeat (TPR)-like protein
16799397	27889.t000009	27889.m000171	27889.m000171		PTHR10551,PTHR10551:SF13		3.2.1.58		GO:0051015,GO:0007015			
16799398	27889.t000010	27889.m000172	27889.m000172									
16799399	27889.t000011	27889.m000173	27889.m000173	PF00150	PTHR10551,PTHR10551:SF13		3.2.1.58		GO:0005975,GO:0004553,GO:0051015,GO:0007015			
16799400	27893.t000001	27893.m000220	27893.m000220	PF00307,PF00225	PTHR24115,PTHR24115:SF512		3.6.4.5	K10406	GO:0005515,GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871	AT3G44730.1	ATKP1,KP1	kinesin-like protein 1
16799401	27893.t000002	27893.m000221	27893.m000221	PF05910	PTHR31972,PTHR31972:SF2					AT4G12690.1		Plant protein of unknown function (DUF868)
16799402	27893.t000003	27893.m000222	27893.m000222	PF13579,PF13692	PTHR13036,PTHR13036:SF0		2.4.1.142	K03842	GO:0016757	AT1G16570.1		UDP-Glycosyltransferase superfamily protein
16799403	27893.t000004	27893.m000223	27893.m000223		PTHR32285,PTHR32285:SF19					AT3G62390.1	TBL6	TRICHOME BIREFRINGENCE-LIKE 6
16799404	27893.t000005	27893.m000224	27893.m000224	PF02631	PTHR33602,PTHR33602:SF1				GO:0006282	AT3G13226.1		regulatory protein RecX family protein
16799405	27893.t000006	27893.m000225	27893.m000225	PF08263,PF00069,PF13855	PTHR27000,PTHR27000:SF186	KOG1187	2.7.11.1		GO:0006468,GO:0005524,GO:0004672,GO:0005515	AT5G56040.2		Leucine-rich receptor-like protein kinase family protein
16799406	27893.t000007	27893.m000226	27893.m000226	PF08576	PTHR34066,PTHR34066:SF1					AT5G11760.1		
16799407	27893.t000008	27893.m000227	27893.m000227	PF04178	PTHR23137,PTHR23137:SF10	KOG2887			GO:0016192,GO:0016021,GO:0006810	AT4G26550.1		Got1/Sft2-like vescicle transport protein family
16799408	27893.t000009	27893.m000228	27893.m000228	PF00319	PTHR11945	KOG0014			GO:0046983,GO:0003677	AT5G60440.1	AGL62	AGAMOUS-like 62
16799409	27893.t000010	27893.m000229	27893.m000229	PF02518,PF00183	PTHR11528,PTHR11528:SF49			K04079	GO:0051082,GO:0006950,GO:0006457,GO:0005524	AT5G56000.1	AtHsp90.4,Hsp81.4	HEAT SHOCK PROTEIN 81.4
16799410	27893.t000011	27893.m000230	27893.m000230	PF13833,PF13499	PTHR23056,PTHR23056:SF44	KOG0034		K06268		AT4G26570.1	ATCBL3,CBL3	calcineurin B-like 3
16799411	27894.t000001	27894.m000773	27894.m000773	PF00439,PF17035	PTHR22880,PTHR22880:SF172				GO:0005515	AT1G06230.3	GTE4	global transcription factor group E4
16799412	27894.t000002	27894.m000774	27894.m000774	PF13855,PF07714,PF11721	PTHR27006,PTHR27006:SF35	KOG0984,KOG0580,KOG2345	2.7.11.1		GO:0005515,GO:0006468,GO:0004672	AT1G53440.1		Leucine-rich repeat transmembrane protein kinase
16799413	27894.t000003	27894.m000775	27894.m000775	PF13855,PF07714,PF11721	PTHR27006,PTHR27006:SF11	KOG1187	2.7.11.1		GO:0005515,GO:0006468,GO:0004672	AT3G14840.2		Leucine-rich repeat transmembrane protein kinase
16799414	27894.t000004	27894.m000776	27894.m000776									
16799415	27894.t000005	27894.m000777	27894.m000777									
16799416	27894.t000006	27894.m000778	27894.m000778	PF13855,PF07714,PF11721	PTHR27006,PTHR27006:SF11	KOG1187	2.7.11.1,2.7.10.1		GO:0005515,GO:0006468,GO:0004672	AT3G14840.2		Leucine-rich repeat transmembrane protein kinase
16799417	27894.t000007	27894.m000779	27894.m000779	PF00645,PF08645	PTHR12083,PTHR12083:SF6		3.1.3.7,3.1.3.32	K08073	GO:0008270,GO:0003677	AT3G14890.1		phosphoesterase
16799418	27894.t000008	27894.m000780	27894.m000780		PTHR37911,PTHR37911:SF1					AT3G14900.1		
16799419	27894.t000009	27894.m000781	27894.m000781									
16799420	27894.t000010	27894.m000782	27894.m000782									
16799421	27894.t000011	27894.m000783	27894.m000783	PF12222	PTHR31104,PTHR31104:SF1		3.5.1.52			AT3G14920.1		Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein
16799422	27894.t000012	27894.m000784	27894.m000784	PF14655	PTHR12472				GO:0043087	AT3G14910.1		
16799423	27894.t000013	27894.m000785	27894.m000785									
16799424	27894.t000014	27894.m000786	27894.m000786		PTHR23111,PTHR23111:SF24					AT1G53460.1		
16799425	27894.t000015	27894.m000787	27894.m000787	PF07722	PTHR11315		3.4.19.9	K01307	GO:0016787,GO:0006541,GO:0008242,GO:0003824	AT1G78680.1	ATGGH2,GGH2	gamma-glutamyl hydrolase 2
16799426	27894.t000016	27894.m000788	27894.m000788	PF09507	PTHR17598			K03504	GO:0006260,GO:0005634	AT1G78650.1	POLD3	DNA-directed DNA polymerases
16799427	27894.t000017	27894.m000789	27894.m000789	PF16455	PTHR13609					AT1G53400.1		Ubiquitin domain-containing protein
16799428	27894.t000018	27894.m000790	27894.m000790		PTHR13833,PTHR13833:SF46					AT3G14860.2		NHL domain-containing protein
16799429	27894.t000019	27894.m000791	27894.m000791									
16799430	27894.t000020	27894.m000792	27894.m000792									
16799431	27894.t000021	27894.m000793	27894.m000793	PF04859	PTHR31161,PTHR31161:SF5					AT1G53380.2		Plant protein of unknown function (DUF641)
16799432	27894.t000022	27894.m000794	27894.m000794									
16799433	27894.t000023	27894.m000795	27894.m000795									
16799434	27894.t000024	27894.m000796	27894.m000796									
16799435	27894.t000025	27894.m000797	27894.m000797									
16799436	27894.t000026	27894.m000798	27894.m000798	PF11715	PTHR21286			K14303		AT1G33410.1	ATNUP160,NUP160,SAR1	SUPPRESSOR OF AUXIN RESISTANCE1
16799437	27894.t000027	27894.m000799	27894.m000799	PF08523,PF01381	PTHR10245,PTHR10245:SF33	KOG3398		K03627	GO:0043565	AT3G58680.1	ATMBF1B,MBF1B	multiprotein bridging factor 1B
16799438	27894.t000028	27894.m000800	27894.m000800	PF14144	PTHR22952,PTHR22952:SF195				GO:0043565,GO:0006351	AT3G14880.2		
16799439	27894.t000029	27894.m000801	27894.m000801		PTHR22952,PTHR22952:SF195					AT3G14880.1		
16799440	27894.t000030	27894.m000802	27894.m000802	PF00646,PF01167	PTHR16517,PTHR16517:SF32	KOG2502			GO:0005515	AT1G53320.1	AtTLP7,TLP7	tubby like protein 7
16799441	27894.t000031	27894.m000803	27894.m000803									
16799442	27894.t000032	27894.m000804	27894.m000804	PF00188	PTHR10334,PTHR10334:SF212	KOG3017				AT4G31470.1		CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
16799443	27894.t000033	27894.m000805	27894.m000805	PF01344	PTHR24414,PTHR24414:SF31				GO:0005515	AT2G24540.1	AFR	Galactose oxidase/kelch repeat superfamily protein
16799444	27894.t000034	27894.m000806	27894.m000806	PF02458	PTHR31147,PTHR31147:SF10		2.3.1.162		GO:0016747	AT1G28680.1		HXXXD-type acyl-transferase family protein
16799445	27894.t000035	27894.m000807	27894.m000807	PF00643	PTHR31832,PTHR31832:SF4				GO:0008270,GO:0005622	AT1G78600.1	DBB3,LZF1,STH3	light-regulated zinc finger protein 1
16799446	27894.t000036	27894.m000808	27894.m000808									
16799447	27894.t000037	27894.m000809	27894.m000809									
16799448	27894.t000038	27894.m000810	27894.m000810									
16799449	27894.t000039	27894.m000811	27894.m000811	PF00924	PTHR31618,PTHR31618:SF1				GO:0055085,GO:0016020	AT1G53470.1	MSL4	mechanosensitive channel of small conductance-like 4
16799450	27895.t000001	27895.m000041	27895.m000041	PF04770	PTHR31948,PTHR31948:SF8					AT3G28920.1	AtHB34,HB34	homeobox protein 34
16799451	27895.t000002	27895.m000042	27895.m000042	PF04770	PTHR31948,PTHR31948:SF12					AT3G28917.1	MIF2	mini zinc finger 2
16799452	27900.t000001	27900.m000019	27900.m000019	PF00450	PTHR11802,PTHR11802:SF71		3.4.16.6		GO:0006508,GO:0004185	AT3G07990.1	SCPL27	serine carboxypeptidase-like 27
16799453	27903.t000001	27903.m000017	27903.m000017	PF00407	PTHR31338,PTHR31338:SF15				GO:0009607,GO:0006952	AT1G14930.1		Polyketide cyclase/dehydrase and lipid transport superfamily protein
16799454	27904.t000001	27904.m000206	27904.m000206	PF10508	PTHR13554	KOG4413		K06692	GO:0043248	AT3G15180.1		ARM repeat superfamily protein
16799455	27904.t000002	27904.m000207	27904.m000207	PF01649	PTHR33398,PTHR33398:SF2			K02968	GO:0006412,GO:0005840,GO:0005622,GO:0003735,GO:0003723	AT3G15190.1		chloroplast 30S ribosomal protein S20, putative
16799456	27904.t000003	27904.m000208	27904.m000208									
16799457	27904.t000004	27904.m000209	27904.m000209									
16799458	27904.t000005	27904.m000210	27904.m000210	PF13456	PTHR33033					AT4G29090.1		Ribonuclease H-like superfamily protein
16799459	27904.t000006	27904.m000211	27904.m000211	PF00931	PTHR23155,PTHR23155:SF592	KOG4658		K13457	GO:0043531	AT3G07040.1	RPM1,RPS3	NB-ARC domain-containing disease resistance protein
16799460	27904.t000007	27904.m000212	27904.m000212	PF00931	PTHR23155,PTHR23155:SF592				GO:0043531	AT3G07040.1	RPM1,RPS3	NB-ARC domain-containing disease resistance protein
16799461	27904.t000008	27904.m000213	27904.m000213	PF00931	PTHR23155,PTHR23155:SF592				GO:0043531	AT3G07040.1	RPM1,RPS3	NB-ARC domain-containing disease resistance protein
16799462	27904.t000009	27904.m000214	27904.m000214	PF00931	PTHR23155,PTHR23155:SF592				GO:0043531	AT3G07040.1	RPM1,RPS3	NB-ARC domain-containing disease resistance protein
16799463	27904.t000010	27904.m000215	27904.m000215	PF13812,PF13041	PTHR24015,PTHR24015:SF609					AT5G18475.1		Pentatricopeptide repeat (PPR) superfamily protein
16799464	27904.t000011	27904.m000216	27904.m000216	PF01535,PF13041	PTHR24015,PTHR24015:SF399					AT3G15200.1		Tetratricopeptide repeat (TPR)-like superfamily protein
16799465	27904.t000012	27904.m000217	27904.m000217	PF00847	PTHR31677				GO:0006355,GO:0003700	AT3G15210.1	ATERF-4,ATERF4,ERF4,RAP2.5	ethylene responsive element binding factor 4
16799466	27905.t000001	27905.m000071	27905.m000071	PF04570	PTHR33059,PTHR33059:SF4					AT1G78020.1		Protein of unknown function (DUF581)
16799467	27905.t000002	27905.m000072	27905.m000072		PTHR19446,PTHR19446:SF340							
16799468	27905.t000003	27905.m000073	27905.m000073	PF00150	PTHR10551,PTHR10551:SF13		3.2.1.58		GO:0005975,GO:0004553,GO:0051015,GO:0007015			
16799469	27905.t000004	27905.m000074	27905.m000074		PTHR10551,PTHR10551:SF13		3.2.1.58		GO:0051015,GO:0007015			
16799470	27906.t000001	27906.m000056	27906.m000056	PF13186	PTHR11228,PTHR11228:SF32							
16799471	27906.t000002	27906.m000057	27906.m000057	PF01180		KOG1436	1.3.5.2		GO:0055114,GO:0016627,GO:0005737	AT5G23300.1	PYRD	pyrimidine d
16799472	27906.t000003	27906.m000058	27906.m000058	PF01883	PTHR13696,PTHR13696:SF62		1.6.3.3			AT3G24430.1	HCF101	ATP binding
16799473	27906.t000004	27906.m000059	27906.m000059									
16799474	27910.t000001	27910.m000029	27910.m000029	PF07715	PTHR32552				GO:0016020,GO:0006810,GO:0004872			
16799475	27910.t000002	27910.m000030	27910.m000030									
16799476	27911.t000001	27911.m000025	27911.m000025	PF09174	PTHR22504				GO:0016480	AT5G13240.1		transcription regulators
16799477	27911.t000002	27911.m000026	27911.m000026		PTHR38225,PTHR38225:SF1							
16799478	27913.t000001	27913.m000019	27913.m000019	PF08271,PF00382	PTHR11618,PTHR11618:SF27	KOG1597		K03124	GO:0017025,GO:0008270,GO:0006355,GO:0006352	AT3G10330.1		Cyclin-like family protein
16799479	27914.t000001	27914.m000408	27914.m000408									
16799480	27914.t000002	27914.m000409	27914.m000409	PF00249	PTHR31496,PTHR31496:SF3					AT5G16560.1	KAN,KAN1	Homeodomain-like superfamily protein
16799481	27914.t000003	27914.m000410	27914.m000410		PTHR31496,PTHR31496:SF3					AT5G16560.1	KAN,KAN1	Homeodomain-like superfamily protein
16799482	27914.t000004	27914.m000411	27914.m000411									
16799483	27914.t000005	27914.m000412	27914.m000412		PTHR35508,PTHR35508:SF1					AT5G16550.1		
16799484	27914.t000006	27914.m000413	27914.m000413									
16799485	27914.t000007	27914.m000414	27914.m000414	PF06886	PTHR14326				GO:0060236,GO:0032147,GO:0005874,GO:0005819	AT5G37478.1		TPX2 (targeting protein for Xklp2) protein family
16799486	27914.t000008	27914.m000415	27914.m000415	PF03371	PTHR23142,PTHR23142:SF3	KOG2888		K12850		AT5G37370.1	ATSRL1	PRP38 family protein
16799487	27914.t000009	27914.m000416	27914.m000416	PF03367	PTHR10876,PTHR10876:SF0			K06874	GO:0008270	AT5G37340.1		ZPR1 zinc-finger domain protein
16799488	27914.t000010	27914.m000417	27914.m000417									
16799489	27914.t000011	27914.m000418	27914.m000418	PF00240,PF01805,PF12230	PTHR15316,PTHR15316:SF1	KOG0007		K12825	GO:0005515,GO:0006396,GO:0003723	AT1G14650.1		SWAP (Suppressor-of-White-APricot)/surp domain-containing protein / ubiquitin family protein
16799490	27914.t000012	27914.m000419	27914.m000419									
16799491	27914.t000014	27914.m000421	27914.m000421	PF05997	PTHR13026,PTHR13026:SF0			K14849	GO:0030688,GO:0006364	AT5G20600.1		
16799492	27914.t000015	27914.m000422	27914.m000422									
16799493	27914.t000016	27914.m000423	27914.m000423	PF03101	PTHR31669,PTHR31669:SF29				GO:0006355	AT3G59470.2		Far-red impaired responsive (FAR1) family protein
16799494	27914.t000017	27914.m000424	27914.m000424	PF00582	PTHR31964,PTHR31964:SF40				GO:0006950	AT3G03270.2		Adenine nucleotide alpha hydrolases-like superfamily protein
16799495	27914.t000018	27914.m000425	27914.m000425	PF00282	PTHR11999,PTHR11999:SF92		4.1.1.15	K01580	GO:0030170,GO:0019752,GO:0016831	AT5G17330.1	GAD,GAD1	glutamate decarboxylase
16799496	27914.t000019	27914.m000426	27914.m000426									
16799497	27914.t000020	27914.m000427	27914.m000427	PF00282	PTHR11999,PTHR11999:SF92		4.1.1.15	K01580	GO:0030170,GO:0019752,GO:0016831	AT5G17330.1	GAD,GAD1	glutamate decarboxylase
16799498	27914.t000022	27914.m000429	27914.m000429	PF00069	PTHR10566,PTHR10566:SF59	KOG1235	3.6.3.46	K08869	GO:0006468,GO:0005524,GO:0004672	AT1G65950.1		Protein kinase superfamily protein
16799499	27914.t000023	27914.m000430	27914.m000430	PF00180	PTHR11822		1.1.1.42	K00031	GO:0055114,GO:0016616,GO:0006102,GO:0004450	AT1G65930.1	cICDH	cytosolic NADP+-dependent isocitrate dehydrogenase
16799500	27915.t000001	27915.m000055	27915.m000055	PF13505								
16799501	27915.t000002	27915.m000056	27915.m000056	PF04476								
16799502	27915.t000003	27915.m000057	27915.m000057	PF04289								
16799503	27915.t000004	27915.m000058	27915.m000058	PF00709	PTHR11846	KOG1355	6.3.4.4		GO:0006164,GO:0005525,GO:0004019	AT3G57610.1	ADSS	adenylosuccinate synthase
16799504	27916.t000001	27916.m000152	27916.m000152		PTHR34568,PTHR34568:SF2					AT3G52170.1		DNA binding
16799505	27916.t000002	27916.m000153	27916.m000153	PF00534	PTHR12526,PTHR12526:SF354					AT5G04480.2		UDP-Glycosyltransferase superfamily protein
16799506	27916.t000003	27916.m000154	27916.m000154	PF00782,PF16561	PTHR10343,PTHR10343:SF58				GO:0008138,GO:0006470	AT3G52180.1	ATPTPKIS1,ATSEX4,DSP4,SEX4	dual specificity protein phosphatase (DsPTP1) family protein
16799507	27916.t000004	27916.m000155	27916.m000155	PF05577	PTHR11010,PTHR11010:SF47		3.4.16.2	K01285	GO:0008236,GO:0006508	AT5G22860.1		Serine carboxypeptidase S28 family protein
16799508	27916.t000005	27916.m000156	27916.m000156									
16799509	27916.t000006	27916.m000157	27916.m000157		PTHR23284,PTHR23284:SF2			K14003		AT3G52190.1	PHF1	phosphate transporter traffic facilitator1
16799510	27916.t000007	27916.m000158	27916.m000158		PTHR32523		2.7.1.182	K18678		AT5G04490.1	VTE5	vitamin E pathway gene 5
16799511	27916.t000008	27916.m000159	27916.m000159	PF09258	PTHR11062,PTHR11062:SF112		2.4.1.225,2.4.1.224		GO:0016021,GO:0015012,GO:0006024	AT5G04500.1		glycosyltransferase family protein 47
16799512	27917.t000001	27917.m000090	27917.m000090	PF14383,PF12552,PF14309	PTHR21726,PTHR21726:SF49					AT3G53540.1		
16799513	27917.t000002	27917.m000091	27917.m000091	PF00403	PTHR22814,PTHR22814:SF16	KOG1603			GO:0046872,GO:0030001	AT2G37390.2		Chloroplast-targeted copper chaperone protein
16799514	27917.t000003	27917.m000092	27917.m000092	PF04321	PTHR10366,PTHR10366:SF361	KOG1429	4.1.1.35	K08678		AT3G53520.1	ATUXS1,UXS1	UDP-glucuronic acid decarboxylase 1
16799515	27917.t000004	27917.m000093	27917.m000093	PF03140	PTHR31549					AT3G50160.1		Plant protein of unknown function (DUF247)
16799516	27918.t000001	27918.m000042	27918.m000042	PF13724,PF04844	PTHR33057,PTHR33057:SF22				GO:0003677	AT2G30400.1	ATOFP2,OFP2	ovate family protein 2
16799517	27918.t000002	27918.m000043	27918.m000043									
16799518	27918.t000003	27918.m000044	27918.m000044		PTHR33599,PTHR33599:SF4							
16799519	27921.t000001	27921.m000025	27921.m000025		PTHR36010					ATMG00180.1		cytochrome C biogenesis 452
16799520	27923.t000001	27923.m000055	27923.m000055	PF00378			5.3.3.18		GO:0008152,GO:0003824			
16799521	27923.t000002	27923.m000056	27923.m000056	PF02798,PF00043	PTHR11260,PTHR11260:SF157	KOG0867			GO:0005515	AT2G30860.1	ATGSTF7,ATGSTF9,GLUTTR,GSTF9	glutathione S-transferase PHI 9
16799522	27923.t000003	27923.m000057	27923.m000057	PF12680								
16799523	27923.t000004	27923.m000058	27923.m000058									
16799524	27924.t000001	27924.m000040	27924.m000040	PF03965	PTHR34134,PTHR34134:SF1				GO:0045892,GO:0003677			
16799525	27924.t000002	27924.m000041	27924.m000041	PF07714,PF13855	PTHR23155,PTHR23155:SF644	KOG4579			GO:0006468,GO:0004672,GO:0005515	AT4G20140.1	GSO1	Leucine-rich repeat transmembrane protein kinase
16799526	27924.t000003	27924.m000042	27924.m000042									
16799527	27930.t000001	27930.m000069	27930.m000069	PF12729			2.7.13.3					
16799528	27930.t000002	27930.m000070	27930.m000070									
16799529	27930.t000003	27930.m000071	27930.m000071	PF13682,PF09078,PF01627,PF13426	PTHR24422,PTHR24422:SF12		2.7.13.3		GO:0004871,GO:0000160			
16799530	27930.t000004	27930.m000072	27930.m000072	PF00072	PTHR26402,PTHR26402:SF586				GO:0000160	AT5G24470.1	APRR5,PRR5	pseudo-response regulator 5
16799531	27930.t000005	27930.m000073	27930.m000073									
16799532	27934.t000001	27934.m000192	27934.m000192	PF01764	PTHR21493,PTHR21493:SF110	KOG2088	3.1.1.3		GO:0006629	AT1G05790.1		lipase class 3 family protein
16799533	27934.t000002	27934.m000193	27934.m000193	PF01535,PF13041	PTHR24015,PTHR24015:SF535					AT3G61360.1		Tetratricopeptide repeat (TPR)-like superfamily protein
16799534	27934.t000003	27934.m000194	27934.m000194									
16799535	27934.t000004	27934.m000195	27934.m000195	PF00646,PF07734,PF00004	PTHR23077,PTHR23077:SF54				GO:0005515,GO:0005524	AT2G03670.1	CDC48B	cell division cycle 48B
16799536	27934.t000005	27934.m000196	27934.m000196	PF12213,PF04042	PTHR12708,PTHR12708:SF0	KOG3818	2.7.7.7	K02325	GO:0006260,GO:0003887,GO:0003677	AT5G22110.1	ATDPB2,CYL2,DPB2	DNA polymerase epsilon subunit B2
16799537	27934.t000006	27934.m000197	27934.m000197		PTHR23181					AT4G08910.1		
16799538	27934.t000007	27934.m000198	27934.m000198	PF04178	PTHR21493,PTHR21493:SF97	KOG1743			GO:0016192	AT1G05785.2		Got1/Sft2-like vescicle transport protein family
16799539	27934.t000008	27934.m000199	27934.m000199									
16799540	27935.t000001	27935.m000041	27935.m000041	PF00216	PTHR33175,PTHR33175:SF5				GO:0003677			
16799541	27935.t000002	27935.m000042	27935.m000042									
16799542	27935.t000003	27935.m000043	27935.m000043									
16799543	27936.t000001	27936.m000051	27936.m000051	PF00892	PTHR31218,PTHR31218:SF29				GO:0016021,GO:0016020,GO:0022857	AT2G37460.1		nodulin MtN21 /EamA-like transporter family protein
16799544	27936.t000002	27936.m000052	27936.m000052		PTHR24098,PTHR24098:SF18					AT5G59830.2		
